,age,nationality,club,overall,potential,value_eur,preferred_foot,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,main_position,bmi
12,25,9,7,89,91,83000000,1,3,4,3,70.0,91.0,79.0,81.0,47.0,83.0,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,86,86,86,82,84,84,84,82,83,83,83,82,79,79,79,82,65,66,66,66,65,62,60,60,60,62,1,25.18107741059303
15,28,7,8,89,90,66000000,1,3,3,2,78.0,65.0,77.0,81.0,87.0,83.0,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,72,72,72,77,76,76,76,77,78,78,78,79,82,82,82,79,85,87,87,87,85,84,83,83,83,84,6,25.510204081632658
16,34,10,1,89,89,24500000,0,4,3,2,68.0,46.0,58.0,60.0,90.0,82.0,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,58,58,58,55,56,56,56,55,56,56,56,57,62,62,62,57,73,77,77,77,73,76,86,86,86,76,4,24.307243558580453
17,31,0,4,89,89,60000000,1,4,4,4,80.0,90.0,77.0,88.0,33.0,74.0,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,87,87,87,85,87,87,87,85,85,85,85,83,77,77,77,83,60,58,58,58,60,56,50,50,50,56,1,23.38868655818771
18,33,11,3,89,89,31500000,1,4,3,3,72.0,68.0,75.0,73.0,87.0,85.0,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,74,74,74,72,73,73,73,72,74,74,74,73,78,78,78,73,80,84,84,84,80,82,87,87,87,82,4,24.22022684310019
19,32,12,0,89,89,53000000,1,5,4,3,73.0,89.0,80.0,84.0,51.0,84.0,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,86,86,86,83,85,85,85,83,84,84,84,82,79,79,79,82,67,67,67,67,67,64,63,63,63,64,1,25.963047941069917
20,30,13,9,89,89,64500000,1,4,4,4,77.0,87.0,74.0,85.0,41.0,82.0,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,86,86,86,82,85,85,85,82,83,83,83,80,77,77,77,80,61,62,62,62,61,58,57,57,57,58,1,23.629489603024574
21,30,11,0,89,89,55000000,1,4,3,3,42.0,62.0,80.0,80.0,85.0,80.0,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,70,70,70,73,75,75,75,73,78,78,78,75,83,83,83,75,78,86,86,86,78,78,82,82,82,78,6,21.27600011197895
22,28,7,0,89,89,69000000,0,4,3,4,81.0,86.0,84.0,89.0,57.0,72.0,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,85,85,85,87,87,87,87,87,87,87,87,86,83,83,83,86,73,71,71,71,73,70,65,65,65,70,7,23.56663223140496
23,25,0,1,88,92,76500000,0,3,3,4,83.0,82.0,84.0,90.0,43.0,64.0,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,80,80,80,85,85,85,85,85,86,86,86,85,80,80,80,85,68,64,64,64,68,64,54,54,54,64,3,23.93948099205209
24,26,7,10,88,91,72500000,1,4,4,5,74.0,81.0,86.0,85.0,66.0,86.0,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,81,81,81,82,83,83,83,82,84,84,84,83,84,84,84,83,76,77,77,77,76,74,72,72,72,74,5,23.025684602944
26,24,9,4,88,90,73000000,1,3,3,4,93.0,79.0,78.0,89.0,45.0,57.0,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,79,79,79,86,85,85,85,86,85,85,85,85,78,78,78,85,68,62,62,62,68,64,51,51,51,64,0,23.87543252595156
27,27,14,7,88,89,68000000,1,3,5,4,73.0,81.0,90.0,84.0,53.0,63.0,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,78,78,78,84,84,84,84,84,86,86,86,85,85,85,85,85,71,71,71,71,71,66,57,57,57,66,3,23.198315069747565
29,32,11,0,88,88,38000000,1,4,3,2,56.0,61.0,72.0,68.0,88.0,80.0,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,70,70,70,67,69,69,69,67,71,71,71,69,76,76,76,69,77,83,83,83,77,78,85,85,85,78,4,22.584759273036454
33,33,11,4,88,88,36000000,0,4,2,4,65.0,74.0,88.0,89.0,52.0,57.0,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,76,76,76,83,83,83,83,83,85,85,85,83,83,83,83,83,68,69,69,69,68,63,56,56,56,63,3,22.386314277122523
34,32,12,2,88,88,47000000,1,4,4,3,75.0,86.0,72.0,79.0,55.0,83.0,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,85,85,85,80,83,83,83,80,80,80,80,79,75,75,75,79,68,66,66,66,68,66,65,65,65,66,1,22.498173849525198
35,33,12,11,88,88,28000000,1,3,3,2,60.0,48.0,64.0,61.0,89.0,83.0,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,62,62,62,59,60,60,60,59,61,61,61,61,67,67,67,61,74,80,80,80,74,77,86,86,86,77,4,22.305470559638533
36,29,15,3,88,88,57000000,1,4,5,3,45.0,80.0,90.0,81.0,70.0,69.0,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,75,75,75,78,79,79,79,78,81,81,81,79,85,85,85,79,75,79,79,79,75,72,69,69,69,72,5,22.694018931589476
37,30,15,12,88,88,56000000,1,4,4,4,85.0,88.0,84.0,87.0,45.0,66.0,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,82,82,82,86,86,86,86,86,86,86,86,85,80,80,80,85,69,65,65,65,69,64,55,55,55,64,3,21.91358024691358
38,30,16,13,88,88,57000000,1,3,4,4,94.0,85.0,75.0,80.0,37.0,69.0,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,84,84,84,83,83,83,83,83,81,81,81,81,74,74,74,81,64,58,58,58,64,61,51,51,51,61,1,22.877405702193368
39,27,8,5,88,88,62000000,1,3,4,4,94.0,83.0,77.0,89.0,44.0,74.0,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,85,85,85,86,87,87,87,86,85,85,85,85,78,78,78,85,67,63,63,63,67,64,57,57,57,64,2,22.53061224489796
40,25,7,4,87,90,56500000,0,2,3,2,64.0,50.0,71.0,68.0,88.0,82.0,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,65,65,65,64,66,66,66,64,67,67,67,67,74,74,74,67,78,82,82,82,78,80,85,85,85,80,4,23.79552644102909
41,24,1,4,87,90,64000000,0,2,3,4,81.0,76.0,83.0,92.0,51.0,67.0,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,77,77,77,85,84,84,84,85,85,85,85,86,82,82,82,86,72,69,69,69,72,67,57,57,57,67,0,21.383941996057334
42,27,2,3,87,89,53500000,1,3,3,2,62.0,72.0,75.0,72.0,85.0,89.0,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,74,74,74,71,74,74,74,71,74,74,74,72,79,79,79,72,78,84,84,84,78,79,84,84,84,79,6,24.543462381300216
43,26,17,7,87,88,60000000,1,3,5,4,88.0,86.0,80.0,87.0,42.0,68.0,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,83,83,83,86,86,86,86,86,85,85,85,85,78,78,78,85,67,63,63,63,67,63,53,53,53,63,7,23.291229956104985
44,34,2,4,87,87,19500000,1,3,4,3,66.0,74.0,79.0,78.0,84.0,79.0,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,74,74,74,75,76,76,76,75,78,78,78,76,81,81,81,76,80,84,84,84,80,80,82,82,82,80,6,20.91070815517618
45,34,2,2,87,87,18500000,1,4,3,2,62.0,54.0,72.0,72.0,87.0,78.0,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,66,66,66,66,67,67,67,66,69,69,69,68,75,75,75,68,77,82,82,82,77,78,84,84,84,78,4,24.48565200513601
46,31,7,3,87,87,45000000,1,4,4,4,76.0,82.0,80.0,86.0,39.0,77.0,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,83,83,83,83,84,84,84,83,84,84,84,82,78,78,78,82,62,62,62,62,62,58,54,54,54,58,7,23.66691015339664
47,32,3,7,87,87,32500000,0,3,3,3,63.0,63.0,74.0,72.0,87.0,79.0,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,69,69,69,68,69,69,69,68,70,70,70,70,74,74,74,70,79,82,82,82,79,80,84,84,84,80,4,24.075473810923548
48,32,3,6,87,87,40000000,1,3,4,4,88.0,83.0,80.0,91.0,35.0,53.0,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,78,78,78,86,85,85,85,86,85,85,85,85,78,78,78,85,65,60,60,60,65,60,46,46,46,60,7,21.35779559539232
49,30,15,12,87,87,41000000,1,4,3,3,51.0,58.0,76.0,72.0,89.0,76.0,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,68,68,68,67,68,68,68,67,71,71,71,69,77,77,77,69,77,83,83,83,77,78,84,84,84,78,4,25.766837531865903
50,30,3,7,87,87,41000000,1,3,3,2,64.0,55.0,72.0,66.0,88.0,79.0,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,66,66,66,64,66,66,66,64,67,67,67,67,74,74,74,67,78,83,83,83,78,80,84,84,84,80,4,23.413111342351716
51,30,11,0,87,87,40000000,0,3,3,3,90.0,69.0,81.0,83.0,79.0,73.0,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,76,76,76,82,80,80,80,82,81,81,81,83,81,81,81,83,84,81,81,81,84,84,78,78,78,84,8,23.529411764705884
52,28,11,9,87,87,50000000,1,3,3,5,69.0,74.0,85.0,90.0,69.0,63.0,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,75,75,75,82,81,81,81,82,84,84,84,82,84,84,84,82,78,78,78,78,78,75,69,69,69,75,5,23.120623596247853
54,28,10,6,87,87,52000000,1,3,4,4,89.0,79.0,85.0,91.0,35.0,47.0,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,79,79,79,87,86,86,86,87,87,87,87,86,79,79,79,86,63,58,58,58,63,58,44,44,44,58,7,22.20633068613798
55,23,15,4,86,92,61000000,0,2,3,4,95.0,81.0,79.0,86.0,38.0,70.0,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,82,82,82,84,84,84,84,84,83,83,83,83,74,74,74,83,65,59,59,59,65,61,52,52,52,61,2,22.395413419331717
56,25,2,2,86,90,51500000,1,3,3,3,74.0,41.0,73.0,70.0,86.0,77.0,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,63,63,63,66,66,66,66,66,68,68,68,70,74,74,74,70,79,82,82,82,79,81,83,83,83,81,4,22.395413419331717
57,24,18,11,86,90,52000000,1,1,4,2,69.0,41.0,59.0,66.0,87.0,82.0,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,58,58,58,58,59,59,59,58,60,60,60,62,66,66,66,62,74,79,79,79,74,76,84,84,84,76,4,22.877405702193368
58,26,10,2,86,89,54500000,1,3,4,4,65.0,60.0,84.0,90.0,79.0,66.0,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,69,69,69,78,77,77,77,78,81,81,81,80,84,84,84,80,80,83,83,83,80,79,76,76,76,79,5,22.03856749311295
59,25,7,0,86,89,50000000,0,3,3,2,69.0,63.0,69.0,69.0,86.0,82.0,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,68,68,68,66,67,67,67,66,67,67,67,67,72,72,72,67,77,80,80,80,77,79,84,84,84,79,4,22.6421929718633
61,24,15,9,86,88,48000000,1,3,4,3,72.0,69.0,86.0,84.0,79.0,78.0,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,76,76,76,80,79,79,79,80,81,81,81,82,84,84,84,82,83,82,82,82,83,81,78,78,78,81,9,23.56663223140496
62,27,11,3,86,87,51000000,1,3,3,4,71.0,77.0,83.0,91.0,59.0,60.0,78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51,76,76,76,83,82,82,82,83,84,84,84,81,81,81,81,81,70,70,70,70,70,67,62,62,62,67,3,25.50361570247934
63,27,2,5,86,87,52000000,1,3,4,4,77.0,82.0,80.0,87.0,61.0,78.0,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,83,83,83,83,84,84,84,83,84,84,84,83,82,82,82,83,72,73,73,73,72,69,67,67,67,69,7,23.198315069747565
64,31,5,0,86,86,38000000,1,4,4,3,62.0,81.0,86.0,81.0,74.0,70.0,84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,76,76,76,79,79,79,79,79,81,81,81,80,83,83,83,80,77,79,79,79,77,75,72,72,72,75,5,23.03875236294896
65,29,19,1,86,86,42500000,1,3,4,3,68.0,68.0,87.0,85.0,75.0,67.0,80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,71,71,71,78,78,78,78,78,81,81,81,80,84,84,84,80,79,80,80,80,79,77,73,73,73,77,5,22.724403484408533
66,31,0,2,86,86,39000000,0,4,2,5,84.0,79.0,84.0,87.0,48.0,68.0,86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,78,78,78,84,83,83,83,84,84,84,84,83,79,79,79,83,69,66,66,66,69,66,57,57,57,66,0,21.296296296296294
67,32,10,1,86,86,28500000,1,3,4,2,58.0,58.0,69.0,70.0,87.0,79.0,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,64,64,64,62,65,65,65,62,68,68,68,65,74,74,74,65,73,82,82,82,73,75,84,84,84,75,4,23.545706371191137
68,27,2,9,86,86,46500000,1,3,4,5,79.0,80.0,84.0,90.0,52.0,64.0,79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,78,78,78,84,83,83,83,84,85,85,85,83,81,81,81,83,70,68,68,68,70,66,58,58,58,66,2,22.985397512168742
69,30,11,14,86,86,41000000,1,2,4,3,41.0,80.0,88.0,79.0,70.0,69.0,84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,74,74,74,76,77,77,77,76,80,80,80,77,83,83,83,77,74,78,78,78,74,71,69,69,69,71,5,22.34029706557179
70,29,15,9,86,86,43500000,1,4,4,3,72.0,83.0,79.0,78.0,55.0,71.0,79,87,81,81,84,75,81,59,72,82,69,75,74,91,71,78,77,86,67,80,61,58,92,85,60,84,44,57,46,82,82,82,81,82,82,82,81,81,81,81,80,79,79,79,80,69,68,68,68,69,67,62,62,62,67,3,21.678806798473808
71,29,10,15,86,86,44500000,1,3,4,3,80.0,85.0,63.0,81.0,39.0,76.0,55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32,83,83,83,79,82,82,82,79,78,78,78,76,70,70,70,76,60,57,57,57,60,57,54,54,54,57,1,24.835646457268076
72,28,7,13,86,86,46000000,1,3,4,4,82.0,85.0,75.0,86.0,40.0,74.0,68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30,83,83,83,82,84,84,84,82,82,82,82,81,76,76,76,81,63,62,62,62,63,59,55,55,55,59,1,23.836734693877553
73,19,4,1,85,93,50000000,1,3,4,2,67.0,58.0,66.0,68.0,83.0,84.0,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,67,67,67,63,65,65,65,63,66,66,66,65,71,71,71,65,74,79,79,79,74,76,82,82,82,76,4,24.915315920606925
75,22,4,0,85,91,52000000,1,3,3,4,79.0,64.0,84.0,87.0,76.0,76.0,75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77,74,74,74,80,79,79,79,80,82,82,82,82,83,83,83,82,81,82,82,82,81,79,76,76,76,79,5,22.839506172839506
76,26,7,3,85,90,45000000,1,3,3,2,83.0,45.0,62.0,63.0,85.0,80.0,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85,62,62,62,61,62,62,62,61,64,64,64,64,69,69,69,64,74,79,79,79,74,77,83,83,83,77,4,22.20333872426743
77,23,15,9,85,90,46500000,1,2,3,2,72.0,42.0,55.0,50.0,86.0,82.0,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87,57,57,57,50,53,53,53,50,54,54,54,54,62,62,62,54,71,77,77,77,71,75,83,83,83,75,4,25.509533201840895
78,24,20,15,85,90,50500000,1,2,4,4,67.0,79.0,80.0,83.0,77.0,84.0,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,81,81,81,78,81,81,81,78,82,82,82,79,83,83,83,79,76,80,80,80,76,76,79,79,79,76,5,20.832762259806476
79,23,11,4,85,90,47000000,1,2,4,3,67.0,68.0,77.0,77.0,82.0,80.0,63,64,75,85,59,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82,46,85,82,84,78,73,73,73,74,76,76,76,74,78,78,78,76,81,81,81,76,78,82,82,82,78,78,80,80,80,78,6,22.47745401715962
80,24,11,16,85,89,49500000,0,3,4,3,70.0,78.0,79.0,81.0,78.0,78.0,69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77,80,80,80,79,80,80,80,79,81,81,81,79,82,82,82,79,78,80,80,80,78,78,78,78,78,78,5,22.743383742911153
81,25,2,5,85,89,45000000,1,3,2,3,68.0,69.0,78.0,77.0,85.0,83.0,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85,73,73,73,74,75,75,75,74,76,76,76,76,80,80,80,76,81,84,84,84,81,81,83,83,83,81,6,22.068809416025353
82,25,21,5,85,89,43500000,0,1,2,3,85.0,62.0,77.0,79.0,80.0,75.0,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80,71,71,71,77,76,76,76,77,76,76,76,79,78,78,78,79,83,80,80,80,83,82,77,77,77,82,8,20.199469763918696
83,24,12,16,85,89,45000000,1,2,3,2,69.0,45.0,52.0,54.0,86.0,82.0,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86,56,56,56,52,52,52,52,52,51,51,51,54,58,58,58,54,71,74,74,74,71,74,83,83,83,74,4,23.37472607742878
84,24,7,0,85,89,45000000,0,2,4,2,75.0,45.0,68.0,65.0,86.0,80.0,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81,63,63,63,64,64,64,64,64,66,66,66,67,72,72,72,67,77,81,81,81,77,79,83,83,83,79,4,23.413111342351716
85,24,1,17,85,88,49000000,1,2,4,4,77.0,83.0,87.0,85.0,65.0,74.0,86,77,58,86,86,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88,87,86,66,64,57,79,79,79,83,83,83,83,83,84,84,84,84,84,84,84,84,77,77,77,77,77,74,68,68,68,74,3,21.534908398614277
89,26,3,11,85,86,46000000,0,3,4,3,75.0,82.0,73.0,72.0,35.0,84.0,72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30,81,81,81,76,78,78,78,76,75,75,75,75,70,70,70,75,57,56,56,56,57,54,53,53,53,54,1,26.038781163434905
90,28,22,6,85,86,37500000,1,3,2,2,82.0,25.0,42.0,60.0,86.0,81.0,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89,51,51,51,50,50,50,50,50,50,50,50,53,55,55,55,53,71,74,74,74,71,75,83,83,83,75,4,23.23563170124017
92,27,23,9,85,86,38000000,0,4,4,3,83.0,73.0,81.0,80.0,80.0,76.0,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80,76,76,76,78,78,78,78,78,78,78,78,79,80,80,80,79,81,80,80,80,81,81,78,78,78,81,8,24.074074074074073
93,26,0,11,85,86,46000000,1,3,4,3,75.0,84.0,61.0,77.0,36.0,69.0,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,45,24,20,83,83,83,75,79,79,79,75,76,76,76,73,67,67,67,73,53,52,52,52,53,51,50,50,50,51,1,22.89307408198773
